corp_code,corp_name,stock_name,stock_code,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,acc_mt
00651901,에어부산 주식회사,에어부산,298690,정병섭,유가,1801110605121.0,6058184518,부산광역시 강서구 유통단지1로57번가길 6,www.airbusan.com,미제공,1666-3060,051-410-0849,511,20070831,12
00138792,아시아나항공(주),아시아나항공,020560,송보영,유가,1101110562804.0,1048117480,서울특별시 강서구  오정로 443-83,www.flyasiana.com,미제공,02-2669-3114,02-2127-8260,511,19880217,12
00141389,영풍정밀(주),영풍정밀,036560,"최창규, 이한성(각자대표)",코스닥,1101110342496.0,2118115683,서울특별시 강남구 테헤란로 419 강남파이낸스플라자 8층,www.yppc.co.kr,미제공,02-538-0878,02-542-1485,29120,19830120,12
00180865,디에이치엑스컴퍼니(주),디에이치엑스컴퍼니,031860,"이상욱, 김성우(각자대표)",코스닥,1101110260218.0,1198101879,"서울특별시 강남구 영동대로96길 20 7층(삼성동, 대화빌딩)",su-holdings.com,미제공,02-2106-5417,02-2106-5490,46800,19790912,12
00402989,(주)코스온,코스온,069110,조일현,기타,1101111823289.0,1068184011,"경기도 오산시 가장산업서북로 40-20 (가장동, (주)코스온)",coson.co.kr,미제공,070-4680-0745,031-378-7863,20423,19991207,12
00548519,(주)큐러블,큐러블,086460,"김승일, 이종선 각자대표",코넥스,1101111980584.0,2018157518,경기도 화성시 동탄대로23길 93 10층,www.curablent.com,미제공,031-376-1671,02-2026-4299,70113,20000526,12
01267602,(주)제이시스메디칼,제이시스메디칼,287410,이라미,기타,1101116585826.0,4248700852,"서울특별시 금천구 가마산로 96 대륭테크노타운8차 307호, 308호, 401호, 808호, 1015호",www.jeisys.com/,미제공,02-2603-6417,미제공,271,20171201,12
00391197,(주)하이퍼코퍼레이션,하이퍼코퍼레이션,065650,이상석,코스닥,1101111390816.0,2038123576,"서울특별시 금천구 가산디지털1로 186 제에이동 제5층 제517호(가산동, 제이플라츠)",medifon.com,미제공,02-545-9277,02-545-9288,465,19970318,12
01325979,(주)세아제강,세아제강,306200,"이휘령, 홍만기",유가,1101116860640.0,5688601173,서울특별시 마포구 양화로 45,www.seahsteel.co.kr,미제공,02-6970-1000,02-6970-1198,2413,20180903,12
00111111,(주)대양금속,대양금속,009190,정지수,유가,1201110002212.0,1348132459,충청남도 예산군  신암면 추사로 146-8,www.daiyangmetal.co.kr,미제공,041-404-1000,02-6952-2451,24122,19730822,12
00359395,(주)헬릭스미스,헬릭스미스,084990,장송선,코스닥,1101111343930.0,1018142428,서울특별시 강서구 마곡중앙8로7길 21 -,helixmith.com,미제공,02-2102-7200,02-887-0011,70113,19961121,12
01068658,선샤인푸드(주),선샤인푸드,217620,김대은,코스닥,1101115680643.0,8968100036,인천광역시 남동구 호구포로 194 제15층 제1509호 (고잔동),www.didimglobal.com,미제공,032-819-6870,032-819-6870,561,20150330,12
01405451,주식회사 알체라,알체라,347860,황영규,코스닥,1101116080032.0,6438700337,경기도 성남시 분당구 판교로256번길 25 7층(삼평동),www.alchera.ai,미제공,031-697-8961,070-4032-3521,58222,20160603,12
00125974,삼부토건(주),삼부토건,001470,오일록,유가,1101110041634.0,1048100771,서울특별시 중구 퇴계로 67 -,www.sambu.co.kr,미제공,02-2036-8000,02)756-3908,41221,19550514,12
00442631,태양기계(주),태양기계,116100,박경희,코넥스,1348110014126.0,1248138738,경기도 화성시 팔탄면 푸른들판로 843-24,www.sun-mc.co.kr,www.sun-mc.co.kr,031-354-9150,031-354-9159,303,19900501,12
01860010,오션스바이오 주식회사,오션스바이오,332190,이현웅,코넥스,1314110415896.0,1228701163,"경상남도 창원시 의창구 창원대로18번길 46, 3층 320호",oceansbio.com/,미제공,070-4776-7006,미제공,27199,20180720,12
01228515,지오릿에너지(주),지오릿에너지,270520,김재섭,코스닥,1101116383543.0,5808600757,"경기도 성남시 수정구 창업로 43 4층 제비-402호(시흥동,판교글로벌비즈센터)",geolitenergy.com/,미제공,031-757-2023,미제공,721,20170420,12
00397289,(주)오텍,오텍,067170,"강성희, 소남영(각자 대표이사)",코스닥,1101110795455.0,2118639754,충청남도 예산군  고덕면 예덕로 1033-36,www.autech.co.kr,미제공,02-2628-0660,02-2628-0665,304,19910731,12
00110583,(주)디에이치오토웨어,DH오토웨어,025440,"김진우, 지태수",코스닥,1101110254344.0,1198102446,"광주광역시 광산구 빛그린동로 190 1207 외 3필지 (1207, 1208, 1209, 1210)",www.dseltec.co.kr,미제공,02-2102-3031,02-2102-3179,265,19790605,12
00450931,우양에이치씨(주),우양에이치씨,101970,김진태,기타,1350110062633.0,1348133443,경기도 평택시  포승읍 포승공단로118번길 88,www.wooyang.co.kr,미제공,031-680-9300,031-686-9310,2512,19961001,12
00259545,(주)엠에스오토텍,엠에스오토텍,123040,"이태규,이강섭",코스닥,1712110005114.0,5058105299,경상북도 경주시  내남면 포석로 16-9,ms-global.com,미제공,054-770-1810,054-748-2193,303,19900906,12
01208821,(주)팡스카이,팡스카이,266350,이병진(단독대표이사),코넥스,1101114972900.0,1198662250,"서울특별시 구로구 디지털로31길 20 709호(구로동, 에이스테크노타워5차)",www.panggame.com/,미제공,070-4658-9400,070-8233-9383,5821,20121004,12
01037542,(주)엔피엑스,NPX,222160,"신영우, 사무엘황",코스닥,1311110051034.0,1298135890,경기도 용인시 기흥구 탑실로58번길 14 &nbsp,www.bioptro.co.kr/,미제공,031-8005-5155,031-8005-5158,292,20000706,12
00138321,신한투자증권 (주),신한투자증권,008670,이선훈,기타,1101110143448.0,1168136684,"서울특별시 영등포구 의사당대로 96 (여의도동, TPTower)",www.shinhansec.com,https://open.shinhansec.com/new_ir/main.jsp,02-3772-1000,02-761-2802,66121,19730402,12
00155124,평화홀딩스(주),평화홀딩스,010770,"황순용, 김주영",유가,1701110006412.0,5148106346,대구광역시 달성군  논공읍 논공로 597,www.phhc.co.kr,미제공,053-610-8500,053-610-8597,303,19501030,12
00486705,아주스틸(주),아주스틸,139990,이현식,유가,1760110020145.0,5138116496,경상북도 구미시 4공단로 321,www.ajusteel.com,미제공,054-714-3657,054-714-3010,2419,19991029,12
00407814,씨지인바이츠(주),CG인바이츠,083790,"정인철, 오수연",코스닥,1601110101016.0,3148134562,서울특별시 강서구 마곡중앙8로 38 마곡동,www.cginvites.com,미제공,02-2107-2776,02-2659-2711,70113,20000707,12
00527491,(주)하이드로리튬,하이드로리튬,101670,전  웅,코스닥,1101111125289.0,1388110821,경기도 광주시  오포읍 오포안로 46-10,미제공,미제공,031-466-4822,031-766-4821,2511,19950127,12
00961507,(주)케일럼,케일럼,258610,최연지,코스닥,1101114097518.0,1098617840,부산광역시 강서구 범방2로 6 &nbsp,www.ewkinc.co.kr,미제공,051-941-3511,051)941-3513,251,20090519,12
00111847,대원강업(주),대원강업,000430,"박민희, 김항수",유가,1101110015556.0,1048115560,충청남도 천안시 서북구 성거읍 오목모전길 117-8 대원강업주식회사,www.dwku.com,미제공,041-520-7583,02-3455-7348,303,19460920,12
00688996,(주)KB금융지주,KB금융,105560,양종희,유가,1101113975517.0,2018608254,"서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)",www.kbfg.com,미제공,02-2073-7114,미제공,64992,20080929,12
00125080,AK홀딩스(주),AK홀딩스,006840,"고준, 채형석 (각자 대표이사)",유가,1101110029721.0,1138110894,서울특별시 마포구 양화로 188 -,www.aekyunggroup.co.kr,미제공,02-768-2923,02-768-2904,64992,19701013,12
01168143,케이만금세기차륜집단유한공사,케이만금세기차륜집단유한공사,900280,송성일,기타,미제공,42590,"P. O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay Road, Grand Cayman, KY1 - 1205 Cayman Isl",www.jsj-wheel.co.kr,http://jsj-wheel.co.kr/sub/sub02_01.php,02-6268-0180,미제공,64992,20140903,12
00156150,(주)하이트론씨스템즈,하이트론씨스템즈,019490,유앤디,유가,1243110017841.0,3128106094,경기도 안성시 미양면 마산길 99-13 -,www.hitron.co.kr,미제공,031-670-9100,0234109399,265,19861110,12
00254045,(주)우리은행,우리은행,000030,정진완,기타,1101110023393.0,2018102819,서울특별시 중구 소공로 51,www.wooribank.com,미제공,02-2002-3000,0505-001-6719,64121,18990130,12
00262266,(주)삼현,삼현,437730,황성호,코스닥,1901110012514.0,6098109210,경상남도 창원시 의창구 죽전로 45,www.samhyun.co.kr,미제공,055-294-0011,055-296-9695,303,19880901,12
00117267,동양생명보험(주),동양생명,082640,이문구,유가,1101110624688.0,2028138251,서울특별시 종로구 종로 33 (청진동),www.myangel.co.kr,미제공,02-1577-1004,02-771-1347,65110,19890701,12
01179866,(주)에스지헬스케어,에스지헬스케어,398120,김정수,코스닥,1244110097700.0,1378196388,경기도 이천시  모가면 양녕로 10,sghealthcare.com/,미제공,02-449-6908,02-449-6909,27111,20090717,12
00135111,(주)수산중공업,수산중공업,017550,양희준,유가,1348110002981.0,1248131958,경기도 화성시  양감면 정문송산로 260,www.soosanheavy.com,미제공,031-352-7733,031)350-5295,29241,19840302,12
00141529,(주)오뚜기,오뚜기,007310,"함영준, 황성만",유가,1341110002258.0,1388103238,경기도 안양시 동안구  흥안대로 405,www.ottogi.co.kr,미제공,031-421-2122,02) 528 -1970,108,19710603,12
00596260,(주)투비소프트,투비소프트,079970,김모란희 단독대표,코스닥,1101112021395.0,2118661993,"서울특별시 강남구 봉은사로 617 인탑스빌딩 3, 4, 5층 (삼성동)",www.tobesoft.com,미제공,02-2140-7700,02-2140-7799,58221,20000710,12
00161125,한온시스템(주),한온시스템,018880,대표이사 이수일,유가,1347110002206.0,3068124501,대전광역시 대덕구  신일서로 95,www.hanonsystems.com,미제공,042-930-6114,042)930-6129,29172,19860311,12
00406329,(주)루멘스,루멘스,038060,박윤민,코스닥,1301110038918.0,1358119745,"경기도 용인시 기흥구 기흥로 58 , 기흥ICT밸리 B동 15층(구갈동) -",www.lumens.co.kr,미제공,031-8033-2000,031-218-1299,2612,19960617,12
00135795,(주)신도리코,신도리코,029530,서동규,유가,1101110034960.0,2188100328,서울특별시 성동구  성수이로24길 3 (주)신도리코,www.sindoh.com,미제공,02-460-1114,02-464-3194,263,19600707,12
00260745,에스씨아이평가정보(주),SCI평가정보,036120,고인묵,코스닥,1101110853419.0,1148147958,서울특별시 영등포구 국회대로70길 23 -,www.sci.co.kr,미제공,02  -3445-5000,0234491544,63991,19920423,12
00129013,CJ씨푸드(주),CJ씨푸드,011150,임항순,유가,1101110215578.0,2298112289,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),www.cjseafood.net,미제공,031-730-9114,031-746-1606,108,19760315,12
00814582,(주)탑런토탈솔루션,탑런토탈솔루션,336680,"각 자 대표이사 박영근, 손종술",코스닥,1760110037504.0,5138133516,경상북도 구미시 옥계2공단로 46-14,toprun.co.kr/,미제공,054-471-4907,054-472-4990,262,20040524,12
00164478,현대건설(주),현대건설,000720,이한우,유가,1101110007909.0,1018116293,서울특별시 종로구  율곡로 75,www.hdec.kr,http://www.hdec.kr/KR/IR/IrWork0100.aspx,02-746-1114,02-746-4846,41221,19500110,12
01506617,(주)쓰리빌리언,쓰리빌리언,394800,금창원,코스닥,1101116196756.0,2908100524,"서울특별시 강남구 테헤란로 415 8층(삼성동, 엘7호텔스강남타워)",3billion.io,미제공,070-5154-8746,미제공,271,20161010,12
00103626,한솔피엔에스(주),한솔피엔에스,010420,"홍성민, 김형준(각자대표)",유가,1101110175970.0,1208159861,서울특별시 중구 퇴계로 213 일흥빌딩 5층,www.hansolpns.com,미제공,02-772-5100,02-2205-0505,467,19750204,12
00122551,(주)백산,백산,035150,"김한준, 전제형(각자 대표이사)",유가,1147110003729.0,1338123001,경기도 시흥시 공단1대로27번길 47,www.baiksan.co.kr,미제공,031-499-0044-9,031-499-0050,22214,19861006,12
00116426,(주)이렘,이렘,009730,김우진,코스닥,1101110162191.0,2068134034,전라북도 부안군  행안면 부안농공단지길 29,www.kossen.co.kr,미제공,02-598-5133,02-598-5362,2413,19740325,12
00140946,한솔로지스틱스(주),한솔로지스틱스,009180,고정한,유가,1101110150659.0,1028141359,서울특별시 중구 을지로 100 파인애비뉴 B동 22층,www.hansollogistics.com,미제공,02-3287-7400,02-6031-0981,5299,19730814,12
00139205,안국약품(주),안국약품,001540,"어진, 박인철 (각자 대표)",코스닥,1101110026420.0,1188104188,경기도 과천시 과천대로7길 12 (갈현동) 프리즘스퀘어2 A동,www.ahn-gook.com,미제공,02  -3289-4221,02-847-8869,212,19590212,12
00861720,(주)이즈미디어,이즈미디어,181340,정복헌,기타,1358110087437.0,1248602685,경기도 안양시 동안구 시민대로 361 914호(평촌에이스타워),www.ismedia.com,미제공,031-427-8411,0316461308,27212,20021120,12
00141307,(주)영풍,영풍,000670,박영민,유가,1101110003824.0,2118111275,서울특별시 강남구  강남대로 542,www.ypzinc.co.kr,미제공,02-519-3314,02-548-8505,24213,19491125,12
00276083,(주)피노,피노,033790,리빈,코스닥,1101110674724.0,1078157410,경기도 안양시 동안구 부림로 17041-13,www.finoes.co.kr,www.skymoonstech.com,031-345-5100,031-345-5199,582,19900209,12
01187148,(주)케어랩스,케어랩스,263700,이민경,코스닥,1201110607278.0,2208836643,서울특별시 강남구 역삼로2길 16 S타워 11층,carelabs.co.kr,미제공,02-6929-2340,02-6929-2341,713,20120410,12
01046391,(주)싸이토젠,싸이토젠,217330,"전병희, 안지훈 (각자대표)",코스닥,1311110251395.0,1298644021,서울특별시 송파구 법원로 128 문정에스케이브이원지엘메트로시티 8층,cytogenlab.com,미제공,02-6925-1070,02-6925-1071,70113,20100318,12
00815095,우리이앤엘(주),우리이앤엘,153490,엄태욱,코스닥,1314110212929.0,1348648994,경기도 안산시 단원구  성곡로 79,www.wooreeenl.co.kr,미제공,031-599-3143,031-494-3174,2612,20080609,12
01060744,한솔제지(주),한솔제지,213500,한경록,유가,1101115604700.0,1048658322,"서울특별시 중구 을지로 100 비동 (을지로2가, 파인애비뉴)",www.hansolpaper.co.kr,미제공,02-3287-6040,02-6031-0909,171,20150102,12
00543204,(주)엔에스이엔엠,엔에스이엔엠,078860,황최한초 (단독대표이사),코스닥,1101111952567.0,2118696978,서울특별시 강남구 강남대로122길 22 2층,www.iok.co.kr,미제공,02-6743-5600,02-565-5401,591,20000426,12
00534598,주식회사 한컴라이프케어,한컴라이프케어,372910,김선영,유가,1345110021549.0,1358121955,경기도 용인시 처인구 양지면 중부대로1960번길 53,www.hancomlifecare.com,hancomlifecare.irpage.co.kr/#/main,031-5183-9021,031-321-4088,27199,19711221,12
00349811,(주)오션인더블유,오션인더블유,052300,"최진욱, 이응길(공동대표이사)",코스닥,1601110048870.0,3148112966,"서울특별시 강남구 도산대로 445 8층(청담동, M빌딩)",www.chorokbaemcompany.com,미제공,02-6237-9784,02-3283-7979,468,19950817,12
00134176,(주)세우글로벌,세우글로벌,013000,안백순,유가,1101110227177.0,1078107055,인천광역시 남구 염전로261번길 26-48,www.sewooglobal.co.kr,미제공,032-868-1100,032-868-0961,467,19780301,12
00141477,(주)영흥,영흥,012160,강근욱,유가,1942110000191.0,6098102065,충청남도 보령시 주교면 관창공단길 50 -,www.youngwire.com,미제공,02-2077-8500,02-2077-8512,24123,19770420,12
00130587,서울전자통신(주),서울전자통신,027040,원성문,코스닥,1243110009781.0,1308110787,인천광역시 부평구 새벌로 4사무동 4층,www.seoulset.com,미제공,032-723-4111,032-723-4112,281,19830617,12
00140131,(주)키다리스튜디오,키다리스튜디오,020120,허흥범,유가,1101110539382.0,1068149784,서울특별시 성동구 연무장11길 8 성수2가 273-50,www.kidaristudio.com,미제공,02-6320-8500,02-6320-8585,631,19870729,12
00111999,대원제약(주),대원제약,003220,"백승열, BAEK JONATHAN IN",유가,1101110103955.0,2078136336,서울특별시 성동구 천호대로 386 대원제약,www.daewonpharm.com,미제공,02-2204-7000,02-498-9108,212,19610809,12
01159853,(주)휴온스,휴온스,243070,Song Soo-young,코스닥,1311110446029.0,8638700270,경기도 성남시 수정구 창업로 17 판교 아이스퀘어 A동 8층,www.huons.com,www.huons.com/web/home.php?go=pds.list&amp;amp;pds_type=11&amp;amp;mid=24,02-854-4700,02-6455-0740,212,20160503,12
00201432,(주)비츠로시스,비츠로시스,054220,이기재,코스닥,1101110657275.0,2188101953,"서울특별시 금천구 가산디지털2로 24 7층 701호(가산동, 가산와이피피아르센타워)",www.vitzrosys.com,미제공,(02)460-2000,02-461-8030,28123,19891104,12
01407158,(주)모코엠시스,모코엠시스,333050,"김인수, 윤영호 (각자 대표이사)",코스닥,1101117189544.0,5108601378,서울특별시 마포구 상암산로 76 YTN 뉴스퀘어 14층,www.mocomsys.com,미제공,02-2141-4100,02-2141-4119,582,20190731,12
01013694,인카금융서비스(주),인카금융서비스,211050,"최병채, 천대권(각자대표이사)",코스닥,1101113773094.0,2148816754,"서울특별시 성동구 아차산로 33 , 5,6층(성수동1가, 삼일빌딩)",www.incar.co.kr,미제공,02-2192-8900,미제공,66202,20071022,12
01353848,(주)이노벡스,이노벡스,279060,채균,코넥스,1358110239187.0,1358637812,"경기도 화성시 동탄대로23길 121 우미뉴브 제14층 제1406호, 제1407호, 제1409호, 제1410호, 제1411호, 제1",www.innovex.co.kr,미제공,070-7707-0932,031-205-0806,272,20131113,12
00371485,(주)켐트로닉스,켐트로닉스,089010,김응수,코스닥,1311110028116.0,1298121998,세종특별자치시   전동면 배일길 31,www.chemtronics.co.kr,미제공,031-776-7690,031-776-7691,204,19970401,12
01412725,두산퓨얼셀 주식회사,두산퓨얼셀,336260,이두순,유가,2149110058935.0,7738801177,전라북도 익산시 석암로7길 100 (팔봉동),www.doosanfuelcell.com,미제공,063-722-2001,02-3398-3858,28111,20191001,12
00256502,(주)에이텍,에이텍,045660,신승영,코스닥,1101110954374.0,2148156422,"경기도 성남시 분당구 판교로 289 (삼평동, 에이텍빌딩)",www.atec.kr,미제공,031-698-8800,031-698-8879,26310,19930630,12
01234507,매일유업 주식회사,매일유업,267980,"김선희, 이인기, 곽정우(각자대표)",코스닥,1101116390770.0,8448100466,서울특별시 종로구 종로1길 50 &nbsp,www.maeil.com,미제공,02-2117-2113,02-3675-6292,104,20170501,12
01310773,(주)엔시스,엔시스,333620,진승언,코스닥,1615110077268.0,3128180677,충청남도 아산시 음봉면 스마트산단3로 18 (주)엔시스,www.n-sys.co.kr/,미제공,041-568-7222,미제공,28909,20060112,12
00185505,(주)제일바이오,제일바이오,052670,"강동일,조영민(각자대표)",코스닥,1350110030490.0,1348101956,경기 안산시 목내동 456-2,www.cheilbio.com,미제공,031-494-8226,031-429-0570,21230,19890221,12
01462739,(주)비아이매트릭스,비아이매트릭스,413640,배영근,코스닥,1101113200360.0,1208679936,"서울특별시 강남구 선릉로 433, 신관 17층(역삼동)",www.bimatrix.co.kr,미제공,02-561-4475,02-561-4479,5822,20050402,12
00158325,나이스평가정보 주식회사,NICE평가정보,030190,김종윤,유가,1101110393283.0,1168115020,서울특별시 영등포구 은행로 17,www.niceinfo.co.kr,www.niceinfo.co.kr,02-2122-4000,02-2122-4111,63991,19850228,12
01704680,(주)엠83,M83,476080,정성진,코스닥,1101117398913.0,4148801623,"서울특별시 마포구 양화로 176, 4층(동교동)",m83.co.kr,미제공,02-518-8320,02-518-8321,59111,20200220,12
01038693,(주)드림시큐리티,드림시큐리티,203650,범진규,코스닥,1101115448356.0,1078822434,"서울특별시 성동구 아차산로 126 10층 (성수동2가, 더리브세종타워)",www.dreamsecurity.com,미제공,02-2233-5533,02-402-3622,582,20140625,12
00386937,(주)국민은행,국민은행,060000,이환주,기타,1101112365321.0,2018168693,서울특별시 영등포구 국제금융로8길 26 국민은행,www.kbstar.com,미제공,02-2073-7114,02-2073-7150,64121,20011101,12
00623184,휴림네트웍스(주),휴림네트웍스,192410,이홍관,코스닥,1301110044808.0,1248152292,서울특별시 서초구 효령로 345 휴림빌딩 2층,www.hyulimnetworks.com/,http://www.hyulimnetworks.com/,02-6291-0951,02-6016-9866,2642,19971015,12
00159740,KISCO홀딩스(주),KISCO홀딩스,001940,"장세홍, 이병제 (각자대표)",유가,1901110001872.0,6088100778,경상남도 창원시 성산구  공단로103번길 12 한국철강(주),www.kiscoholdings.co.kr,www.kiscoholdings.co.kr,055-260-0500,055-283-3429,241,19570219,12
01042711,글로벌텍스프리(주),글로벌텍스프리,204620,강진원,코스닥,1101115480233.0,1048656135,"서울특별시 중구 퇴계로 131 9층(충무로2가, 신일빌딩)",global-taxfree.com,미제공,02-518-0837,미제공,661,20140731,12
00329093,(주)코데즈컴바인,코데즈컴바인,047770,김호덕,코스닥,1101111187031.0,1148166713,서울특별시 강남구 논현로145길 66 (논현동),www.codes-combine.co.kr,www.codes-combine.co.kr,02-2239-1414,02-546-5830,141,19950816,12
00117276,(주)네이처셀,네이처셀,007390,변대중,코스닥,1243110005721.0,1308105606,서울특별시 영등포구 국회대로76길 10 5층,www.naturecell.co.kr,미제공,02-545-4137,02-6978-9127,211,19710806,12
00683469,일진전기(주),일진전기,103590,"황수, 유상석(각자 대표이사)",유가,1348110159279.0,1248667922,경기도 화성시  만년로 905-17,-,미제공,031-220-0500,02-707-9778,2830,20080702,12
00481454,금호타이어(주),금호타이어,073240,정일택,유가,1101112810590.0,1018195610,광주광역시 광산구  어등대로 658,www.kumhotire.co.kr,https://www.kumhotire.com/ko/company/irdata/list.do,02-6303-8114,02-6303-8159,221,20030630,12
01011438,(주)에이치엘사이언스,에이치엘사이언스,239610,이해연,코스닥,1341110077704.0,1238161032,경기도 화성시 봉담읍 동산재길 36,www.hlscience.com,미제공,031-421-9903,031-421-9904,108,20000928,12
00132868,(주)성안머티리얼스,성안머티리얼스,011300,임종찬,유가,1701110006868.0,5048101534,대구광역시 북구  검단동로 35 (검단동),www.startex.co.kr,미제공,053-382-4772,053)384-1148,13213,19760420,12
00159810,(주)카프로,카프로,006380,박성명,유가,1101110111825.0,1018124186,"서울특별시 종로구 인사동7길 12 12층(관훈동, 백상빌딩)",www.hcccapro.co.kr,미제공,02-399-1200,02-732-4214,20119,19691230,12
00983916,에이치엘비제넥스(주),HLB제넥스,187420,"김의중, 김도연 (각자 대표이사)",코스닥,1601110095821.0,3148132185,대전광역시 유성구 테크노1로 65(관평동),www.genofocus.com,미제공,042-862-4483,042-862-4484,211,20000329,12
00103662,(주)광명전기,광명전기,017040,"이재광,원호정",유가,1301110006270.0,1348104007,경기도 안산시 단원구  목내로 160 (목내동),www.kmec.co.kr,www.kmec.co.kr,031-494-0720,02)2240-8109,28123,19830608,12
01497869,(주)티와이홀딩스,티와이홀딩스,363280,윤세영,유가,1101117608502.0,7558101772,"서울특별시 영등포구 여의공원로 111, 10층(여의도동)",www.ty-holdings.co.kr,미제공,02-2090-6611,02-2090-6605,64992,20200901,12
00991225,(주)더콘텐츠온,더콘텐츠온,302920,김상윤,코넥스,1101115017614.0,2118887003,"서울특별시 강남구 테헤란로 322서관 1410~1412호(역삼동, 한신인터밸리24)",www.tcokr.com,미제공,02-2183-1930,02-2183-1939,59130,20121206,12
01049167,주식회사 미코바이오메드,미코바이오메드,214610,정민영,코스닥,1501110123252.0,3178112475,"경기도 성남시 수정구 창업로 54 가동 3층, 4층",www.micobiomed.com,미제공,070-5227-6000,070-5227-6001,27199,20090306,12
00361725,에스케이커뮤니케이션즈(주),에스케이커뮤니케이션즈,066270,유영미,기타,1101111322885.0,2208137906,서울특별시 중구 소월로2길 30 티타워,www.skcomms.co.kr,미제공,070-7401-1553,미제공,631,19960919,12
00536541,(주)에코프로,에코프로,086520,송호준,코스닥,1101111598379.0,2148626675,충청북도 청주시 청원구 오창읍 과학산업2로 587-40 주식회사 에코프로,www.ecopro.co.kr,https://ecopro.co.kr/sub020403,043-240-7700,0432187771,64992,19981022,12
00172945,동일스틸럭스(주),동일스틸럭스,023790,장재헌,코스닥,1801110002004.0,6068106096,부산 북구 학장동 716-1,www.dongilsteel.com,미제공,051-316 -5341,051-796-7069,24121,19670712,12
00605522,(주)소룩스,소룩스,290690,정재준,코스닥,1211110051797.0,1308166262,충청남도 공주시 정안면 정안농공단지길 32-22,www.solux.co.kr,미제공,041-855-6847,02-2668-4709,28422,19960702,12
01397903,주식회사 엔젠바이오,엔젠바이오,354200,최대출,코스닥,1101115877480.0,4358800238,"서울특별시 구로구 디지털로 288 303호. 304호. 305호. 306호. 307호. 제지1층 제비 127호, 제지1층 제비 1",ngenebio.com,미제공,02-867-9798,02-866-9784,739,20151030,12
00232089,바이온(주),바이온,032980,류진형,코스닥,1101110358956.0,1168100978,경기도 안산시 단원구 별망로 285 -,www.by-on.co.kr,http://www.by-on.co.kr/company/overview.php,02-516-0720,02-2088-0706,463,19831101,12
