회사코드,회사명,요약_HTML
102113,경인양행,"```html
<div class=""company-report"">
    <h2 class=""company-name"">경인양행 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 경인양행은 화학산업에 속하며, 염료와 사카린을 포함한 화학 제품을 선도하고 있습니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 경인양행은 염료산업 및 사카린을 포함한 화학산업을 중심으로, 전자재료사업으로 사업을 다각화하여 수익성 향상을 추진하고 있습니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 주요 제품으로는 반응성 염료, 사카린, 염화가리, 황산가리 등이 있으며, 섬유 염색 및 식품첨가물로 사용됩니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 경인양행의 주요 시장은 섬유, 식품, 제약, 비료, 반도체 산업으로, 국내외 다양한 기업에 제품을 공급하고 있습니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 경인양행은 중견기업으로, 염료 및 화학산업에서의 입지를 유지하며, 전자재료와 같은 고부가가치 산업으로의 진출을 활발히 진행하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 경인양행은 디지털 섬유 인쇄 및 OLED, 반도체 소재 등 신산업 분야로의 확장을 통해 지속적인 성장을 기대하고 있습니다.</p>
</div>
```"
102140,경인전자,"```html
<div class=""company-report"">
    <h2 class=""company-name"">경인전자 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 경인전자는 전자부품 제조업체로, 주요 사업 분야로는 리모컨, IoT, 스위치, THERMOSTAT 제조를 포함합니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 경인전자는 전자부품 제조와 자동차 부품 사업을 추진하며, 종속회사를 통해 글로벌 시장에 진출하고 있습니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 경인전자는 TV 및 가전제품용 리모컨, IoT 센서 제품, 가전 및 자동차용 스위치와 THERMOSTAT를 생산합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 경인전자의 주요 고객은 미국, 유럽, 일본 등의 글로벌 기업이며, 주로 가전제품 및 자동차 제조업체를 대상으로 하고 있습니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 경인전자는 벤처기업으로 인증받았으며, 지속적인 기술 개발과 원가 경쟁력 확보를 위해 노력하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 경인전자는 IoT와 스마트 디바이스 시장의 확장을 통해 향후 성장 가능성이 높으며, 글로벌 시장에서의 경쟁력을 강화하고 있습니다.</p>
</div>
```"
102353,경창산업,"```html
<div class=""company-report"">
    <h2 class=""company-name"">경창산업 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 경창산업은 자동차 부품 제조 산업에 속합니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 경창산업은 OEM 방식으로 자동차 변속기 부품 및 샤시 제품을 제조하며, 글로벌 자동차 부품 전문기업으로 활동합니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 경창산업의 주요 제품은 Auto T/M 부품, Actuator, Pedal, Lever, Cable, Wiper, 리저브탱크 등이 있습니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 경창산업의 주요 고객은 현대차, 기아차, 현대트랜시스, 현대모비스, 폭스바겐, 크라이슬러, 푸조 등입니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 경창산업은 총 10개의 생산 공장을 가동하며 국내외 11개의 계열사를 통해 자동차 부품을 생산하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 경창산업은 글로벌 시장에서의 확장을 통해 지속적인 성장을 기대하고 있으며, 다양한 자동차 제조사와의 협력을 강화하고 있습니다.</p>
</div>
```"
102432,계룡건설산업,"```html
<div class=""company-report"">
    <h2 class=""company-name"">계룡건설산업 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 계룡건설산업은 건설업을 중심으로 건축, 토목, 분양, 유통, 레저 등 다양한 분야에 걸쳐 사업을 운영하고 있습니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 계룡건설산업의 핵심 사업은 건축 및 주택, 토목, 유통, 레저 사업을 포함하며, 주요 거래처로는 한국도로공사, 국토교통부 등이 있습니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 계룡건설산업은 공공 건축물, 아파트, 주상복합 건물 등의 건축물과 함께 쇼핑시설, 고속도로 휴게소, 골프장 등의 운영 서비스를 제공합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 계룡건설산업은 주로 국내 시장을 대상으로 하며, 주요 고객으로는 국가철도공단, 조달청, 한국토지주택공사 등이 포함됩니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 계룡건설산업은 11개의 계열사를 보유하고 있으며, 최근 신용등급 BBB+를 유지하고 있습니다. 기업은 현재 다양한 분야에서 안정적인 성장을 지속하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 계룡건설산업은 지속적인 경기 부양 효과를 통해 향후 성장을 기대할 수 있으며, 레저 시장의 확대와 함께 지속적인 발전 가능성이 있습니다.</p>
</div>
```"
102751,고려산업,"```html
<div class=""company-report"">
    <h2 class=""company-name"">고려산업 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 고려산업은 가축용 사료 제조 및 판매를 주력으로 하는 농업 및 식품산업에 속해 있으며, 임대업, 식육 유통업 등 다양한 부문을 아우릅니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 고려산업은 배합사료 제조와 판매를 핵심 사업으로 하며, 축산물 유통 및 임대업을 포함한 기타 사업을 운영하고 있습니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 회사는 주로 가축용 배합사료를 생산하며, 보조사료, 농산물 수탁 판매 및 식육 유통 서비스를 제공합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 고려산업은 국내 시장을 중심으로 활발히 활동하고 있으며, 주요 원재료는 미국 및 남미에서 수입합니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 고려산업은 매출의 96%가 사료 부문에서 발생하며, 지속적인 판로 확보와 경쟁력 강화를 위해 과학적인 사양 관리 시스템을 도입하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 고려산업은 다품종 소량 생산체제를 통해 시장 변화에 대응하며, 향후 기술적 지원 강화와 신선한 제품 공급을 통해 성장 가능성을 확대하고 있습니다.</p>
</div>
```"
102760,두산건설,"```html
<div class=""company-report"">
    <h2 class=""company-name"">두산건설 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 두산건설은 건설업에 속하며, 주택 및 건축, 토목 등 다양한 분야를 포괄하는 종합 건설업체입니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 두산건설은 아파트 및 주상복합 건물을 시공하는 주택사업과 의료, 교육 시설을 포함한 다양한 건축사업, 사회기반시설을 구축하는 토목사업을 영위합니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 두산건설은 'We've' 브랜드로 아파트, 주상복합, 오피스텔을 제공하며, 철도, 도로, 지하철 등 다양한 사회기반시설을 건설합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 두산건설은 국내 주요 대도시와 수도권을 포함해 전국적으로 사업을 진행하며, 민간투자 사업을 통해 교통 인프라 분야에서도 강력한 입지를 확보하고 있습니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 두산건설은 최근 성장 한계에 대응하여 신성장동력 발굴을 통한 사업 다각화를 추진하며, 특히 수소연료전지발전사업 등에서 기회를 모색하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 두산건설은 기술력과 시공능력을 바탕으로 국내외 시장에서 지속적인 성장을 기대하며, 신사업 분야를 통해 장기적인 발전 가능성을 높이고 있습니다.</p>
</div>
```"
102858,고려아연,"```html
<div class=""company-report"">
    <h2 class=""company-name"">고려아연 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 고려아연은 종합비철금속 제련업에 속해 있으며, 다양한 비철금속의 제련 및 판매를 전문으로 합니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 고려아연은 아연, 연, 금, 은, 동 등의 비철금속을 제련 및 판매하는 사업을 주력으로 하고 있으며, 자원순환 및 신재생에너지 개발 사업 등도 추진하고 있습니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 아연, 연, 금, 은, 동 및 이들 금속의 제련 과정에서 회수되는 황산 등의 부산물을 주요 제품으로 생산합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 국내외 비철금속 시장을 대상으로 다양한 비철금속 제품을 공급하며, 해외 수출 또한 활발히 진행하고 있습니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 고려아연은 74개의 연결대상 종속회사를 보유하고 있으며, 자원순환 및 전자폐기물 재활용 사업 등 새로운 분야로의 사업 확장을 지속하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 2차전지 소재 및 신재생에너지 분야의 확장을 통해 지속적인 성장을 기대할 수 있으며, 글로벌 시장에서의 경쟁력을 강화하고 있습니다.</p>
</div>
```"
103006,고려제강,"```html
<div class=""company-report"">
    <h2 class=""company-name"">고려제강 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 철강산업에 속하며, 특수선재 제품의 생산과 판매를 주요 업종으로 하고 있습니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 고려제강은 와이어로프, 경강선, 그리고 PC강선 등을 주요 사업으로 하여 자동차 산업, 광산, 선박 어업, 기계 산업 등에 제품을 공급합니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 와이어로프와 경강선, 비드와이어, 하이로프 등의 고부가가치 제품을 주로 생산합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 국내를 비롯하여 다양한 산업 분야에 제품을 공급하고 있으며, 주요 시장은 자동차, 기계, 전자, 건설 산업입니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 고려제강은 국내 최대의 와이어로프 및 특수선재 가공업체로서 안정적인 시장 점유율을 유지하고 있으며, 신용등급은 A-로 평가받고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 세계 경제의 불확실성에도 불구하고, 고부가가치 제품 개발과 원가 경쟁력 강화를 통해 지속적인 성장을 추구하고 있습니다.</p>
</div>
```"
103015,고려제약,"```html
<div class=""company-report"">
    <h2 class=""company-name"">고려제약 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 제약 및 바이오 산업에 속하며, 의약품 제조 및 판매업을 영위하고 있습니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 1980년에 설립된 고려제약은 의약품의 제조 및 판매를 주요 사업으로 하고 있으며, 다양한 질환에 대한 전문의약품을 생산합니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 종합감기약, 조혈영양제, 중추신경계용제, 소화기계용제, 피부과용제, 비타민/영양제, 항생항균제, 해열진통소염제 등을 포함합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 국내 약국, 병원 및 의원뿐만 아니라 해외로도 의약품을 수출하고 있습니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 코스닥에 상장되어 있으며, 연구개발을 통해 지속적인 제품 개발과 기술 혁신에 힘쓰고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 향후 다양한 신약 및 제네릭 개발을 통해 시장 지배력을 강화할 것으로 기대됩니다.</p>
</div>
```"
103042,케이씨티시,"```html
<div class=""company-report"">
    <h2 class=""company-name"">케이씨티시 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 물류산업에 속하며, 항만하역, 운송, 보관 등 다양한 물류서비스를 제공하고 있습니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 케이씨티시는 컨테이너 터미널 운영, 항만하역, 내륙 운송, 중량물 운송, 국제 복합운송 등을 포함한 종합물류 서비스를 제공합니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 컨테이너 및 벌크 화물 운송, 항만 하역, CY/CFS 운영, 중량물 운송, 소화물 보관 및 배송 서비스를 제공합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 국내 주요 항만과 거점 지역을 중심으로 물류 인프라를 활용하여 국내외 다양한 고객을 대상으로 합니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 최근 경기도 이천에 풀필먼트 센터를 개설하며 물류 서비스 영역을 확장하고 있으며, 중동 지역 진출을 모색하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 지속적인 인프라 확충과 글로벌 물류 네트워크 확장으로 향후 안정적인 성장과 더불어 글로벌 물류 기업으로의 도약이 기대됩니다.</p>
</div>
```"
103130,플레이그램,"```html
<div class=""company-report"">
    <h2 class=""company-name"">플레이그램 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 플레이그램은 엠알오사업, 영상콘텐츠사업, 임베디드 시스템 및 솔루션 개발 등 다양한 산업에 걸쳐 사업을 영위하고 있습니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 플레이그램은 기업 운영을 위한 부자재 공급, 영화 및 드라마 제작과 배급, 임베디드 소프트웨어 개발 솔루션 등을 주요 사업으로 하고 있습니다.</p>
    <p class=""products""><strong>주요 제품:</strong> MRO 서비스, 영상 콘텐츠, 임베디드 SW 솔루션, AI 플랫폼, 스마트 공유주차 서비스 등을 제공합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 플레이그램은 국내외 제조업, 유통업, 금융업, 공공기관 등을 고객으로 하며, 다양한 산업에 걸쳐 시장을 확장하고 있습니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 플레이그램은 종속회사와 함께 첨단 기술을 활용한 다양한 솔루션을 제공하며 지속적인 성장을 도모하고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 플레이그램은 IoT, AI, 디지털트윈 등 4차 산업혁명 기술을 통한 혁신을 바탕으로 향후 지속적인 성장 가능성을 확보하고 있습니다.</p>
</div>
```"
103176,흥국화재,"```html
<div class=""company-report"">
    <h2 class=""company-name"">흥국화재 기업 개요</h2>
    <p class=""industry""><strong>산업/업종:</strong> 흥국화재는 보험 산업에 속하며, 주로 화재, 해상, 특종보험 및 자동차보험과 같은 손해보험업을 영위합니다.</p>
    <p class=""business""><strong>핵심 사업:</strong> 이 회사는 화재보험, 해상보험, 특종보험, 자동차보험, 질병 및 상해보험 등 다양한 손해보험을 제공합니다.</p>
    <p class=""products""><strong>주요 제품:</strong> 흥국화재는 주로 다양한 형태의 보험상품을 제공하며, 고객의 보험료 수납 및 보험금 지급을 통해 사회안전망 역할을 수행합니다.</p>
    <p class=""market""><strong>주요 시장:</strong> 주요 고객은 일반 소비자 및 기업으로, 국내 시장을 중심으로 보험 서비스를 제공합니다.</p>
    <p class=""current-status""><strong>현재 상황:</strong> 흥국화재는 최근 A+의 신용등급을 유지하며, 안정적인 보험금 지급능력을 갖추고 있습니다.</p>
    <p class=""growth""><strong>성장 전망:</strong> 보험금 지급능력을 바탕으로 지속적인 성장 가능성이 있으며, 사회적 책임을 강화하는 방향으로 발전하고 있습니다.</p>
</div>
```"
